40-44 ,NO,656,18,27
45-59,NO,359,22,61
50-54,NO,249,19,76
55-59,NO,632,55,87
60-64,NO,1067,117,109
65-69,NO,897,170,189
70-74,NO,668,179,267
75-79,NO,361,120,332
80,NO,274,120,437
40-44,CigarPipe,145,2,13
45-59,CigarPipe,104,4,38
50-54,CigarPipe,98,3,30
55-59,CigarPipe,372,38,102
60-64,CigarPipe,846,113,133
65-69,CigarPipe,949,173,182
70-74,CigarPipe,824,212,257
75-79,CigarPipe,667,243,364
80,CigarPipe,537,253,471
40-44,CigCigarPipe,4531,149,32
45-59,CigCigarPipe,3030,169,55
50-54,CigCigarPipe,2267,193,85
55-59,CigCigarPipe,4682,576,123
60-64,CigCigarPipe,6052,1001,165
65-69,CigCigarPipe,3880,901,232
70-74,CigCigarPipe,2033,613,301
75-79,CigCigarPipe,871,337,386
80,CigCigarPipe,345,189,547
40-44,CigOnly,3410,124,36
45-59,CigOnly,2239,140,62
50-54,CigOnly,1851,187,101
55-59,CigOnly,3270,514,157
60-64,CigOnly,3791,778,205
65-69,CigOnly,2421,689,284
70-74,CigOnly,1195,432,361
75-79,CigOnly,436,214,490
80,CigOnly,113,63,557
